Food_Name;Serving_Size_(g);Calories;Total_Fat_(g);Cholesterol_(mg);Sodium_(mg);Potassium_(mg);Total_Carbohydrate_(g);Protein_(g)
apple_pie;125;296;14;0;251;81;43;2.4
bibimbap;864;972;22;239;1655;1247;155;36
caesar_salad;480;481;40;36;1152;613;10;10
cheesecake;125;401;28;69;548;113;32;6.9
chicken_curry;235;243;11;74;73;374;7.5;28
chicken_wings;27;88;6.5;22;105;46;2.6;4.5
chocolate_cake;109;424;22;24;379;294;58;3.8
chocolate_mousse;202;455;32;283;77;32;32;8.4
club_sandwich;349;817;46;203;1867;710;42;56
creme_brulee;200;687;60;444;54;179;30;8.3
cup_cakes;75;292;15;17;261;203;40;2.6
deviled_eggs;30;68;5.8;95;69;42;0.5;3.2
donuts;60;253;14;18;190;61;29;3.7
dumplings;32;74;1.7;1.1;217;39;12;2
edamame;78;94;4;0;4.7;338;6.9;9.2
filet_mignon;85;230;15;82;46;280;0;22
french_fries;117;365;17;0;246;677;48;4
french_toast;84;219;11;129;237;97;23;7.3
fried_calamari;143;356;15;192;252;262;37;18
fried_rice;137;238;4.1;25;530;104;45;5.5
frozen_yogurt;174;221;6.3;23;110;271;38;5.2
garlic_bread;43;150;7.1;0;234;44;18;3.6
greek_salad;159;134;15;25;370;238;7.4;5.1
grilled_cheese_sandwich;106;366;23;63;886;185;28;12
grilled_salmon;227;468;28;143;138;872;0;50
hamburger;226;540;27;122;791;570;40;34
hot_dog;48;155;14;28;409;121;1.3;5.6
ice_cream;132;273;15;58;106;263;31;4.6
lasagna;385;602;32;166;1576;1041;35;44
macaroni_and_cheese;198;376;16;5.9;669;255;47;9.7
macarons;11;43;1.9;0.7;18;30;6;0.8
miso_soup;241;59;3;0.1;1071;95;3.5;5.8
mussels;85;146;3.8;48;314;228;6.3;20
omelette;178;323;25;625;533;236;1.4;21
onion_rings;100;410;25;14;776;167;44;3.9
oysters;25;41;1.2;25;53;76;2.5;4.7
pancakes;40;91;3.9;24;176;53;11;2.6
panna_cotta;122;390;34;127;43;92;19;2.8
peking_duck;275;663;41;118;925;527;42;30
pizza;107;285;10;18;640;184;36;12
ramen;707;954;35;227;2691;833;111;48
sashimi;28;35;1.2;25;43;95;0.3;5.3
spaghetti_bolognese;660;667;22;62;637;1135;84;35
spaghetti_carbonara;512;1018;33;186;965;386;133;44
steak;221;614;41;214;115;698;0;58
strawberry_shortcake;283;485;29;99;322;342;52;6.7
sushi;211;349;19;17;537;293;38;7.8
takoyaki;39;58;2.5;19;161;67;5.8;3
tiramisu;174;572;44;307;300;161;35;8.3
waffles;75;218;11;52;383;119;25;5.9
